Date;Temp;Pluie;ETP;IR
01/01/2000;10,2;0;0,3;0
02/01/2000;8,75;0;1,3;0
03/01/2000;-7,2;0;0,9;0
04/01/2000;10,05;0;1,3;0
05/01/2000;8,45;0;0,8;0
06/01/2000;9,1;0;0,8;0
07/01/2000;7,7;0;1;0
08/01/2000;7,45;0;0,7;0
09/01/2000;7,7;8,5;0,6;0
10/01/2000;7,85;0;1,6;0
11/01/2000;4,35;0;1,2;0
12/01/2000;2,15;0;0,8;0
13/01/2000;1,3;1;0,3;0
14/01/2000;6,15;12;1,3;0
15/01/2000;8,3;10;2,5;0
16/01/2000;5,65;0,5;2,1;0
17/01/2000;4,15;0;2,2;0
18/01/2000;7,85;0;2,6;0
19/01/2000;7,35;0;3,8;0
20/01/2000;3,7;0;2,5;0
21/01/2000;4,25;0;2;0
22/01/2000;4,75;0;2,1;0
23/01/2000;6,05;0;3,5;0
24/01/2000;4,2;0;2,6;0
25/01/2000;1,1;0,5;0,8;0
26/01/2000;4;0,5;1,3;0
27/01/2000;4,9;0,5;0,7;0
28/01/2000;6,7;0;0,4;0
29/01/2000;8,2;0;1;0
30/01/2000;14,15;0;3,8;0
31/01/2000;10,55;0;1,4;0
01/02/2000;7,45;1;0,2;0
02/02/2000;11,35;0,5;1,4;0
03/02/2000;12,1;0;4;0
04/02/2000;9,8;0;2;0
05/02/2000;8,4;0;0,6;0
06/02/2000;10,35;0;1;0
07/02/2000;10,65;0;2,4;0
08/02/2000;14,3;0;3,1;0
09/02/2000;12,65;0;4,1;0
10/02/2000;8,3;0;2,1;0
11/02/2000;12,15;0;2,2;0
12/02/2000;5,7;0;2,7;0
13/02/2000;7,3;0;2,2;0
14/02/2000;10,75;0;2;0
15/02/2000;14,5;0;3,1;0
16/02/2000;10,35;2;3,1;0
17/02/2000;7,55;2;3,2;0
18/02/2000;10,85;0;2,2;0
19/02/2000;13,1;0;4,5;0
20/02/2000;10,2;0;4,3;0
21/02/2000;5,5;0;3,1;0
22/02/2000;6,05;0;2,2;0
23/02/2000;7,35;0;1,7;0
24/02/2000;11,6;0;1;0
25/02/2000;10,4;0;1,3;0
26/02/2000;10,4;0;1,6;0
27/02/2000;7,75;0;0,8;0
28/02/2000;11,4;0;1,1;0
29/02/2000;11,9;0;0,8;0
01/03/2000;11,45;1,5;3,2;0
02/03/2000;9,4;0;4,3;0
03/03/2000;8,15;0;2,1;0
04/03/2000;13,05;0;3,7;0
05/03/2000;9,3;0;4,2;0
06/03/2000;6,2;0;2,4;0
07/03/2000;11;0;1,8;0
08/03/2000;13,05;0;2;0
09/03/2000;16,65;0;3,8;0
10/03/2000;16,6;0;4,5;0
11/03/2000;17,5;0;2,7;0
12/03/2000;11,95;0;3;0
13/03/2000;11,35;0;2,3;0
14/03/2000;14,15;0;3,6;0
15/03/2000;14,1;0;6;0
16/03/2000;12,7;0;5,4;0
17/03/2000;14,25;0;5,3;0
18/03/2000;14,8;0;4,7;0
19/03/2000;11,1;0;2,2;0
20/03/2000;6,8;3,5;1,4;0
21/03/2000;10,1;0;2;0
22/03/2000;10,6;0;1,9;0
23/03/2000;11,9;2;2,1;0
24/03/2000;13,45;0;2,6;0
25/03/2000;11,25;4;1,4;0
26/03/2000;10,7;0;3,4;0
27/03/2000;9,4;0;3,6;0
28/03/2000;9,05;0;3,2;0
29/03/2000;8,25;0;3,4;0
30/03/2000;7,3;0;2,4;0
31/03/2000;10,5;2;1,7;0
01/04/2000;11,3;0;3;0
02/04/2000;10,65;0;1,7;0
03/04/2000;16,3;0;2,5;0
04/04/2000;13,15;0;4,4;0
05/04/2000;12,6;0;5,3;0
06/04/2000;10,35;0;4,6;0
07/04/2000;9,45;0;3,5;0
08/04/2000;12,8;4,5;2,5;0
09/04/2000;9,1;2,5;1,1;0
10/04/2000;9,65;9,5;1,3;0
11/04/2000;13;1;3,8;0
12/04/2000;11;0;3,4;0
13/04/2000;11,55;0;3,1;0
14/04/2000;13,75;0;1,4;0
15/04/2000;13,05;0;3,3;0
16/04/2000;13,95;7;1,7;0
17/04/2000;14,15;0;4,7;0
18/04/2000;12,45;0;4;0
19/04/2000;15,35;0;6,5;0
20/04/2000;15,65;0;4,8;0
21/04/2000;15,65;0;3,2;0
22/04/2000;14,8;2;1,4;0
23/04/2000;12,75;1;1,8;0
24/04/2000;13,6;0;3,8;0
25/04/2000;14,9;0;3,1;0
26/04/2000;15,95;0;3,6;0
27/04/2000;13,55;6;2,1;0
28/04/2000;12,45;0;2,8;0
29/04/2000;11,5;0;3,5;0
30/04/2000;15,1;0;3;0
01/05/2000;16,2;0;4,1;0
02/05/2000;16,9;0;4,3;0
03/05/2000;16,3;0;3,8;0
04/05/2000;17,85;0;3;0
05/05/2000;17,4;2;3,6;0
06/05/2000;15,45;13;1,6;0
07/05/2000;16,8;6,5;1,6;0
08/05/2000;16,45;1,5;2,2;0
09/05/2000;17,05;11,5;0,8;0
10/05/2000;17,2;9;1,7;0
11/05/2000;17,45;0;3,7;0
12/05/2000;18;0;3,8;0
13/05/2000;19,4;0;4,3;0
14/05/2000;18,35;0;4,3;0
15/05/2000;18,7;0;4,9;0
16/05/2000;18,95;0;4,7;0
17/05/2000;18,85;0;3,3;0
18/05/2000;16,4;0;6,2;0
19/05/2000;15,85;0;7;0
20/05/2000;16,15;0;5,4;0
21/05/2000;17,25;0;4,5;0
22/05/2000;18,55;0;6,1;0
23/05/2000;17,85;0;5;0
24/05/2000;18,55;0;4,6;0
25/05/2000;18,4;0;5,9;0
26/05/2000;18,45;14;5,5;0
27/05/2000;17,35;0;5,7;0
28/05/2000;17,95;0;3,9;0
29/05/2000;19,25;0;7,4;0
30/05/2000;22,55;0;6,9;0
31/05/2000;21,05;0;6,9;0
01/06/2000;20,4;0;6,5;0
02/06/2000;20;0;4,7;0
03/06/2000;20,05;0;4,7;0
04/06/2000;22,4;0;4,9;0
05/06/2000;21,65;12,5;4,3;0
06/06/2000;17,3;0;6,9;0
07/06/2000;20,1;0;9;0
08/06/2000;17,65;0;5,1;0
09/06/2000;20,05;1;3,8;0
10/06/2000;13,45;21;1,8;0
11/06/2000;14,55;10;2,2;0
12/06/2000;16,5;0;4,6;0
13/06/2000;20,8;7,5;4,7;0
14/06/2000;19,95;91;3,8;0
15/06/2000;22,8;0;8;0
16/06/2000;23,75;0;9;0
17/06/2000;22,95;0;8,3;0
18/06/2000;21,5;0;5,6;0
19/06/2000;21,75;0;5,7;0
20/06/2000;20,75;0;5;0
21/06/2000;20,05;0;5,3;0
22/06/2000;20,8;0;4,4;0
23/06/2000;20,75;0;8,3;0
24/06/2000;18,75;0;8,7;0
25/06/2000;19,65;0;7,1;0
26/06/2000;19,3;0;6,7;0
27/06/2000;21,6;0;6,2;0
28/06/2000;23,55;0;7,9;0
29/06/2000;23;0;7,9;0
30/06/2000;22;0;6,4;0
01/07/2000;22,95;0;4,9;10
02/07/2000;23,6;0;5,5;0
03/07/2000;25,3;5;3,1;0
04/07/2000;21;0;7,6;0
05/07/2000;22,25;0;6,8;0
06/07/2000;22;0;5,9;0
07/07/2000;23,85;0;8,4;0
08/07/2000;22,5;0;9;0
09/07/2000;20,1;0;7,3;0
10/07/2000;17,95;0,5;2,6;0
11/07/2000;17,35;0;7,5;0
12/07/2000;17;0;8,2;10
13/07/2000;17,25;0;7,7;0
14/07/2000;20,9;0;7,1;0
15/07/2000;19,5;0;8,8;0
16/07/2000;17,8;0;8,1;0
17/07/2000;17,2;0;6,5;0
18/07/2000;18,95;0;5,5;0
19/07/2000;21,35;0;6,6;0
20/07/2000;22,6;0;7,7;0
21/07/2000;20,95;0;7;0
22/07/2000;21,25;0;4,2;0
23/07/2000;20,7;3,5;3,9;0
24/07/2000;23,05;0;6;0
25/07/2000;21,4;10,5;5,4;0
26/07/2000;21,55;0;5,6;0
27/07/2000;21,5;3;6;0
28/07/2000;23;0;8,5;0
29/07/2000;20,9;0;9;0
30/07/2000;21,5;0;7,8;0
31/07/2000;21,75;0;7,7;0
01/08/2000;20,9;0;4,2;0
02/08/2000;24,35;0;4,8;0
03/08/2000;20,75;0;3,2;0
04/08/2000;19,7;0;8,1;0
05/08/2000;20,05;0;7,1;0
06/08/2000;22,75;0;8,6;10
07/08/2000;22,45;0;8,5;0
08/08/2000;22,5;0;7,4;0
09/08/2000;24,75;0;6,5;0
10/08/2000;22,7;0;4,6;0
11/08/2000;22,15;4,5;4,5;0
12/08/2000;23,85;0;3;0
13/08/2000;24,4;0;5,4;0
14/08/2000;25,9;0;6,1;0
15/08/2000;26,95;0;7,3;0
16/08/2000;24,75;0;7,4;0
17/08/2000;26,05;0;4,6;0
18/08/2000;24,7;0;5,2;0
19/08/2000;25,75;0;4,2;0
20/08/2000;25,85;0;4,6;0
21/08/2000;24,7;0;4,2;0
22/08/2000;20,3;0;5,6;0
23/08/2000;21,85;0;4,5;0
24/08/2000;24,85;0;4,6;0
25/08/2000;25,05;0;5,2;0
26/08/2000;23,6;0;4,1;0
27/08/2000;21,85;0;9;0
28/08/2000;20;0;7,5;0
29/08/2000;18,65;1;5,1;0
30/08/2000;22,05;13;1,6;0
31/08/2000;20,65;0;5,6;0
01/09/2000;20,1;0;5,8;0
02/09/2000;21,25;0;7,3;0
03/09/2000;19,1;0;6,6;0
04/09/2000;19,05;0;6,6;0
05/09/2000;18,95;0;6,9;0
06/09/2000;19,65;0;5;0
07/09/2000;21,6;0;8,2;0
08/09/2000;21,15;0;6,6;0
09/09/2000;18,35;0;4,6;0
10/09/2000;19,65;0;4,6;0
11/09/2000;19,45;0;3,1;0
12/09/2000;21,2;1,5;2,9;0
13/09/2000;21,4;0;3,4;0
14/09/2000;20,8;0;3;0
15/09/2000;23,5;0;3,4;0
16/09/2000;22,85;0;5,9;0
17/09/2000;20,15;0;4,7;0
18/09/2000;20,35;0;4;0
19/09/2000;19,95;0,5;2,2;0
20/09/2000;15,5;0;3,9;0
21/09/2000;20,15;0;4,6;0
22/09/2000;19,7;0;4,7;0
23/09/2000;18,25;0;3,4;0
24/09/2000;19,2;0;2,5;0
25/09/2000;18,3;0;2,4;0
26/09/2000;17,85;0;1,9;0
27/09/2000;21,9;0;1,8;0
28/09/2000;21,65;2,5;1,6;0
29/09/2000;18,25;1;1,4;0
30/09/2000;15,2;0;3,4;0
01/10/2000;15,5;0;3,6;0
02/10/2000;15,65;0;5,5;0
03/10/2000;18,35;0;6;0
04/10/2000;16,8;0;4,4;0
05/10/2000;16,4;0;3,8;0
06/10/2000;14,9;0;5,9;0
07/10/2000;13,65;0;5,2;0
08/10/2000;16,1;0;3,1;0
09/10/2000;17,45;2;4,8;0
10/10/2000;14,8;0;3,9;0
11/10/2000;13,55;4;1,6;0
12/10/2000;12,85;0;0,9;0
13/10/2000;11,2;13,5;0,8;0
14/10/2000;13,55;56;1,2;0
15/10/2000;11,8;11;1,8;0
16/10/2000;12,75;0,5;1,5;0
17/10/2000;15,55;0;2,7;0
18/10/2000;13,45;0;1,7;0
19/10/2000;15;0;1,4;0
20/10/2000;15,6;0;0,7;0
21/10/2000;18,25;0;3,1;0
22/10/2000;18,3;0;2,4;0
23/10/2000;16,8;3,5;0,8;0
24/10/2000;17,25;0;1,2;0
25/10/2000;15,4;0;1,3;0
26/10/2000;18,45;0;2,5;0
27/10/2000;16,25;0;2,8;0
28/10/2000;12,65;0;1,2;0
29/10/2000;16,55;0;2,5;0
30/10/2000;14,85;1;1,2;0
31/10/2000;13,65;0;2,3;0
01/11/2000;11,55;0;1,7;0
02/11/2000;12;0;1,7;0
03/11/2000;12,4;0;2,3;0
04/11/2000;9,65;0;2;0
05/11/2000;8,65;1;1,5;0
06/11/2000;14,65;0;2;0
07/11/2000;11,15;0;2,6;0
08/11/2000;9,7;0,5;1,8;0
09/11/2000;10,85;0;1,2;0
10/11/2000;8,7;0;1,6;0
11/11/2000;8,5;0;1,1;0
12/11/2000;16,95;0;1,2;0
13/11/2000;14,65;1;1,6;0
14/11/2000;12,55;0;1,7;0
15/11/2000;8,55;0;1,2;0
16/11/2000;7,25;0;1,6;0
17/11/2000;8,9;0;3,9;0
18/11/2000;9,6;1;3,4;0
19/11/2000;8,8;0,5;0,8;0
20/11/2000;9,05;3;0,8;0
21/11/2000;9,05;0;1,1;0
22/11/2000;11,45;0;1,2;0
23/11/2000;12,05;1;1,1;0
24/11/2000;9,5;0;2,4;0
25/11/2000;9,2;1;0,8;0
26/11/2000;11,1;1,5;2,1;0
27/11/2000;11,1;0,5;1,4;0
28/11/2000;10,55;0,5;0,6;0
29/11/2000;14,1;6;0,7;0
30/11/2000;14,1;4,5;1,1;0
01/12/2000;14;0;1,5;0
02/12/2000;14,6;0;1,3;0
03/12/2000;10,65;0;1,6;0
04/12/2000;8,55;0;0,5;0
05/12/2000;13;0;1;0
06/12/2000;15,2;1;1;0
07/12/2000;14,95;0;1,2;0
08/12/2000;14,85;0;1,1;0
09/12/2000;10,55;0,5;1,1;0
10/12/2000;10,15;0;0,8;0
11/12/2000;9,15;0;0,7;0
12/12/2000;8,75;0;0,5;0
13/12/2000;12,55;0;1,5;0
14/12/2000;10;0;0,9;0
15/12/2000;9;0;2,4;0
16/12/2000;8,1;0;2,1;0
17/12/2000;10,7;0;0,8;0
18/12/2000;8,15;0;0,8;0
19/12/2000;8,55;0;0,7;0
20/12/2000;12,3;2,5;1,2;0
21/12/2000;12,65;1;1,4;0
22/12/2000;10,55;0,5;2,6;0
23/12/2000;11,35;20;2,7;0
24/12/2000;11,9;8;0;0
25/12/2000;10,9;0;1,1;0
26/12/2000;10,5;0;0,5;0
27/12/2000;10,55;0;1,4;0
28/12/2000;7,55;6;2,2;0
29/12/2000;7,65;2;1,9;0
30/12/2000;4,65;10;1,2;0
31/12/2000;4,95;0;2,4;0
01/01/2001;5,7;0;0,1;0
02/01/2001;13,25;0;1,7;0
03/01/2001;9,7;0;1,3;0
04/01/2001;11,3;2;1,5;0
05/01/2001;8,5;0;0,4;0
06/01/2001;10,6;1,5;0,4;0
07/01/2001;9,1;0;0,8;0
08/01/2001;7,55;0;0,6;0
09/01/2001;4,15;0;0,6;0
10/01/2001;10,5;0;0,6;0
11/01/2001;11,05;0;0,6;0
12/01/2001;11,7;4,5;0,6;0
13/01/2001;11,1;1,5;0,6;0
14/01/2001;6,85;6;0,8;0
15/01/2001;6,35;0,5;0,9;0
16/01/2001;3,95;8;1;0
17/01/2001;5,65;0;0,8;0
18/01/2001;4,55;22;0,1;0
19/01/2001;6,9;0;0,6;0
20/01/2001;7,15;0;0,9;0
21/01/2001;7,4;0;1;0
22/01/2001;8,2;0;0,2;0
23/01/2001;10,65;0;0,7;0
24/01/2001;13,15;0,5;1,3;0
25/01/2001;10,35;0;1,7;0
26/01/2001;7,15;0;0,9;0
27/01/2001;9,85;0,5;2,4;0
28/01/2001;5,35;73;0,5;0
29/01/2001;7,35;1;2,6;0
30/01/2001;6,6;0;3,5;0
31/01/2001;8,6;0;2;0
01/02/2001;8;0;3;0
02/02/2001;5,35;0;1,6;0
03/02/2001;11,2;0;2;0
04/02/2001;9,75;0;1,1;0
05/02/2001;9,1;0;0,9;0
06/02/2001;9,6;0;0,3;0
07/02/2001;13,55;0;1,5;0
08/02/2001;14,45;0;2,5;0
09/02/2001;9,5;0;3,5;0
10/02/2001;9,1;0;2,1;0
11/02/2001;11,1;0;1,7;0
12/02/2001;9,35;0;0,9;0
13/02/2001;9,8;0;2,2;0
14/02/2001;10;0;2,1;0
15/02/2001;8,45;0;1,4;0
16/02/2001;8,2;0;0,9;0
17/02/2001;7,1;3,5;2,6;0
18/02/2001;6,35;1,5;2;0
19/02/2001;7,15;0;1,5;0
20/02/2001;10,35;0;3,2;0
21/02/2001;9,7;0;2,7;0
22/02/2001;12,1;0;3,1;0
23/02/2001;10,05;0;2,6;0
24/02/2001;9,4;0;3,1;0
25/02/2001;4,25;0;3,1;0
26/02/2001;3,65;0;2,9;0
27/02/2001;3,55;6,5;1,5;0
28/02/2001;5,05;0;1;0
01/03/2001;6,15;1;1,8;0
02/03/2001;8,05;17;0,7;0
03/03/2001;13,55;0;1,2;0
04/03/2001;10,45;0;1;0
05/03/2001;14,35;0;2,2;0
06/03/2001;11,4;0;1,2;0
07/03/2001;11,95;6,5;1,5;0
08/03/2001;15,05;31;1,4;0
09/03/2001;11,5;0,5;2,2;0
10/03/2001;14,5;2;1,6;0
11/03/2001;16,05;0;2,5;0
12/03/2001;13,7;9;0,8;0
13/03/2001;11,65;0;3,2;0
14/03/2001;13,75;0;3,7;0
15/03/2001;12,5;0;2,3;0
16/03/2001;12,3;7;1,3;0
17/03/2001;13,5;4;2,8;0
18/03/2001;11,4;0;1,7;0
19/03/2001;14,55;0;3,3;0
20/03/2001;15,35;0;1,7;0
21/03/2001;15,5;0;1,9;0
22/03/2001;16;0;4,3;0
23/03/2001;16,7;0;2,5;0
24/03/2001;14,55;0;2;0
25/03/2001;14,45;0;4,4;0
26/03/2001;13;0;3,2;0
27/03/2001;14,35;0;2,7;0
28/03/2001;14;3,5;3;0
29/03/2001;11,1;0;2,5;0
30/03/2001;11,15;0;5,3;0
31/03/2001;14,8;0;4,5;0
01/04/2001;12,75;0;3,8;0
02/04/2001;14,25;0;2,4;0
03/04/2001;15,5;0;2,3;0
04/04/2001;15,95;0;2,7;0
05/04/2001;13,35;0;4,3;0
06/04/2001;19,05;10;4,4;0
07/04/2001;13,05;0;4,2;0
08/04/2001;12,3;0;5,3;0
09/04/2001;14,4;0;5,1;0
10/04/2001;13,5;0;4,5;0
11/04/2001;13,05;0;6,1;0
12/04/2001;13,55;0;6,3;0
13/04/2001;10,85;0;5,6;0
14/04/2001;11,45;0;5,9;0
15/04/2001;11,75;0;4,1;0
16/04/2001;14,1;3,5;5;0
17/04/2001;12,4;0;4,8;0
18/04/2001;9,05;0;4,3;0
19/04/2001;11,7;0;4,2;0
20/04/2001;9,25;0;5,1;0
21/04/2001;8,8;0;5,1;0
22/04/2001;11,05;3;5,6;0
23/04/2001;13,15;0;4,6;0
24/04/2001;14,95;0;3,4;0
25/04/2001;17,3;0;6,3;0
26/04/2001;15,55;0;6,2;0
27/04/2001;14,4;0;3,1;0
28/04/2001;16,5;0;5,1;0
29/04/2001;14,4;0;2;0
30/04/2001;11,8;2,5;2,2;0
01/05/2001;9,55;2;2,1;0
02/05/2001;12,7;12,5;1,9;0
03/05/2001;13,05;0;2,6;0
04/05/2001;12,6;2;2,3;0
05/05/2001;12,3;2;3,2;0
06/05/2001;12,55;0;5,7;0
07/05/2001;13,45;0;4,7;0
08/05/2001;16,75;0;4,7;0
09/05/2001;13,4;0;3,6;0
10/05/2001;17,3;0,5;4,3;0
11/05/2001;19,95;0,5;3,2;0
12/05/2001;16,7;0;3,9;0
13/05/2001;19,55;0;3,2;0
14/05/2001;17,9;0,5;3,1;0
15/05/2001;19,7;2;4,3;0
16/05/2001;20;0;3;0
17/05/2001;19,1;4;3,8;0
18/05/2001;17,85;0;7,9;0
19/05/2001;18,25;0;7,7;0
20/05/2001;19;0;5,3;0
21/05/2001;19,3;1;3,4;0
22/05/2001;18,9;14;4,1;0
23/05/2001;20,35;11,5;4;0
24/05/2001;19,9;0;5,1;0
25/05/2001;20,6;0;7,5;0
26/05/2001;24,45;0;7;0
27/05/2001;22,65;0;6,3;0
28/05/2001;24,05;0;6;0
29/05/2001;25,2;0;7,1;0
30/05/2001;23,8;0;5,2;0
31/05/2001;23,35;0;7,8;0
01/06/2001;21,55;0;8,7;0
02/06/2001;18,8;0;8,4;0
03/06/2001;19,55;0;8,9;0
04/06/2001;16,25;0;7,7;0
05/06/2001;16,95;0;4,5;0
06/06/2001;19,8;0;8;0
07/06/2001;20,7;0;6,4;0
08/06/2001;20,05;0;3,1;0
09/06/2001;21,35;10;3,4;0
10/06/2001;18,45;17;2,6;0
11/06/2001;17,95;0;7,6;0
12/06/2001;16,6;0;6,3;0
13/06/2001;20,65;0;5,5;0
14/06/2001;22,05;0;5,9;0
15/06/2001;20,45;27,5;4,6;0
16/06/2001;21,35;0;6,8;0
17/06/2001;18,5;0;7,4;0
18/06/2001;18,9;0;9;0
19/06/2001;20,25;0;8,8;0
20/06/2001;20,3;0;8,3;0
21/06/2001;23,4;0;6,3;0
22/06/2001;25,15;0;7,7;0
23/06/2001;24,25;0;8,1;0
24/06/2001;25,25;0;6,1;0
25/06/2001;23,4;0;4,8;0
26/06/2001;23,5;0;5,9;0
27/06/2001;20,7;0;5,8;0
28/06/2001;22,95;0;9;0
29/06/2001;22,75;0;8,7;0
30/06/2001;24,4;0;8,3;0
01/07/2001;26,5;0;9;0
02/07/2001;22,75;0;9;0
03/07/2001;23,1;0;5,5;0
04/07/2001;22,55;2,5;3,9;0
05/07/2001;23,6;0,5;5,3;0
06/07/2001;21,75;12,5;4,2;0
